benchmark,myapp_result,z3,q3b,cvc5,bitw,parse+z3,parse+cvc5,parse+bitw,simplify+z3,simplify+cvc5,simplify+bitw,myapp+z3,myapp+cvc5,myapp+bitw
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/sum02_false-unreach-call_true-no-overflow.c_3.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/sum02_false-unreach-call_true-no-overflow.i_2.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_4.smt2, succ, timeout, unsat, timeout, timeout, timeout, timeout, timeout, timeout, unsat, timeout, unsat, unsat, unsat
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_15.smt2, succ, timeout, unsat, unsat, timeout, timeout, unsat, timeout, timeout, unsat, unsat, unsat, unsat, unsat
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_2.smt2, succ, timeout, unsat, timeout, timeout, timeout, timeout, timeout, timeout, unsat, timeout, unsat, unsat, unsat
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_12.smt2, succ, timeout, unsat, unsat, timeout, timeout, unsat, timeout, timeout, unsat, timeout, unsat, unsat, unsat
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/jain_6_true-unreach-call_true-no-overflow_false-termination.i_11.smt2, succ, timeout, unsat, unsat, timeout, timeout, unsat, timeout, timeout, unsat, timeout, unsat, unsat, unsat
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/sum02_false-unreach-call_true-no-overflow.c_4.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/soft_float_4_true-unreach-call_true-no-overflow_true-termination.c.cil.c_6.smt2, succ, unsat, timeout, timeout, timeout, unsat, timeout, timeout, unsat, timeout, unsat, unsat, timeout, unsat
../bench/non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_18.smt2, succ, timeout, unsat, unsat, timeout, timeout, unsat, timeout, timeout, unsat, timeout, unsat, unsat, unsat
